what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265219738
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373265220144
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265233566
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265233566
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265233941
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265236816
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265237676
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265249972
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265253847
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265253847
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265253926
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265275019
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1373265279816
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1373265281269
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1373265287066
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1373265288238
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1373265294363
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1373265300504
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265312379
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265338816
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265340457
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265340457
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265340551
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265364504
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373265365347
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265375472
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265375472
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265375566
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265423269
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265432191
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265721062
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265735906
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265870218
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1373265871375
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373265877875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265887890
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265888843
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373265888953
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1373265889218
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1373265889234
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1373265889265
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1373265889265
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1373265889296
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1373265889296
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1373265889312
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1373265889312
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1373265889359
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1373265889359
stopped,bundle,org.eclipse.mylyn.ide.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ui",1373265889421
stopped,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1373265889421
stopped,bundle,org.eclipse.mylyn.resources.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.resources.ui",1373265889437
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1373265889453
stopped,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1373265889453
stopped,bundle,org.eclipse.mylyn.help.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.help.ui",1373265889546
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1373265889593
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1373265889593
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1373265889609
